"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"1970","Research I","Mechanical Engineering","Male","3,855","."
"1970","Research I","Materials Engineering","Female","9","."
"1970","Research I","Materials Engineering","Male","424","."
"1970","Research I","Industrial Engineering","Female","11","."
"1970","Research I","Industrial Engineering","Male","1,495","."
"1970","Research I","Other Engineering","Female","51","."
"1970","Research I","Other Engineering","Male","2,117","."
"1970","Research I","Astronomy","Female","11","."
"1970","Research I","Astronomy","Male","101","."
"1970","Research I","Chemistry","Female","463","."
"1970","Research I","Chemistry","Male","2,782","."
"1970","Research I","Physics","Female","82","."
"1970","Research I","Physics","Male","1,621","."
"1970","Research I","Other Physical Sciences","Female","26","."
"1970","Research I","Other Physical Sciences","Male","225","."
"1970","Research I","Atmospheric Sciences","Female","1","."
"1970","Research I","Atmospheric Sciences","Male","153","."
"1970","Research I","Earth Sciences","Female","105","."
"1970","Research I","Earth Sciences","Male","862","."
"1970","Research I","Oceanography","Female","6","."
"1970","Research I","Oceanography","Male","71","."
"1970","Research I","Mathematics and Statistics","Female","2,236","."
"1970","Research I","Mathematics and Statistics","Male","3,980","."
"1970","Research I","Computer Science","Female","103","."
"1970","Research I","Computer Science","Male","471","."
"1970","Research I","Agricultural Sciences","Female","290","."
"1970","Research I","Agricultural Sciences","Male","5,066","."
"1970","Research I","Biological Sciences","Female","2,658","."
"1970","Research I","Biological Sciences","Male","7,031","."
"1970","Research I","Medical Sciences","Female","442","."
"1970","Research I","Medical Sciences","Male","1,791","."
"1970","Research I","Other Life Sciences","Female","5,807","."
"1970","Research I","Other Life Sciences","Male","1,661","."
"1970","Research I","Psychology","Female","4,178","."
"1970","Research I","Psychology","Male","5,743","."
"1970","Research I","Economics","Female","650","."
"1970","Research I","Economics","Male","5,736","."
"1970","Research I","Political Science and Public Administration","Female","2,013","."
"1970","Research I","Political Science and Public Administration","Male","7,260","."
"1970","Research I","Sociology","Female","4,111","."
"1970","Research I","Sociology","Male","2,719","."
"1970","Research I","Anthropology","Female","1,135","."
"1970","Research I","Anthropology","Male","867","."
"1970","Research I","Linguistics","Female","75","."
"1970","Research I","Linguistics","Male","60","."
"1970","Research I","Area and Ethnic Studies","Female","419","."
"1970","Research I","Area and Ethnic Studies","Male","457","."
"1970","Research I","Other Social Sciences","Female","2,359","."
"1970","Research I","Other Social Sciences","Male","3,301","."
"1970","Research I","Engineering Technologies","Female","3","."
"1970","Research I","Engineering Technologies","Male","867","."
"1970","Research I","Health Technologies","Female","260","."
"1970","Research I","Health Technologies","Male","7","."
"1970","Research I","Interdisciplinary or Other Sciences","Female","704","."
"1970","Research I","Interdisciplinary or Other Sciences","Male","1,839","."
"1970","Research I","History","Female","3,677","."
"1970","Research I","History","Male","6,717","."
"1970","Research I","English and Literature","Female","8,800","."
"1970","Research I","English and Literature","Male","4,998","."
"1970","Research I","Foreign Languages","Female","4,589","."
"1970","Research I","Foreign Languages","Male","1,712","."
"1970","Research I","Other Humanities","Female","405","."
"1970","Research I","Other Humanities","Male","1,276","."
"1970","Research I","Religion and Theology","Female","2","."
"1970","Research I","Religion and Theology","Male","7","."
"1970","Research I","Arts and Music","Female","6,173","."
"1970","Research I","Arts and Music","Male","4,276","."
"1970","Research I","Architecture and Environmental Design","Female","149","."
"1970","Research I","Architecture and Environmental Design","Male","2,456","."
"1970","Research I","Other Science/Technical Education","Female","130","."
"1970","Research I","Other Science/Technical Education","Male","1,167","."
"1970","Research I","Non-Science Education","Female","20,582","."
"1970","Research I","Non-Science Education","Male","4,900","."
"1970","Research I","Business and Management","Female","1,727","."
"1970","Research I","Business and Management","Male","21,657","."
"1970","Research I","Communication and Librarianship","Female","1,426","."
"1970","Research I","Communication and Librarianship","Male","1,730","."
"1970","Research I","Law","Female","10","."
"1970","Research I","Law","Male","251","."
"1970","Research I","Social Service Professions","Female","1,246","."
"1970","Research I","Social Service Professions","Male","254","."
"1970","Research I","Vocational Studies and Home Economics","Female","3,595","."
"1970","Research I","Vocational Studies and Home Economics","Male","122","."
"1970","Research I","Other Non-sciences or Unknown Disciplines","Female","747","."
"1970","Research I","Other Non-sciences or Unknown Disciplines","Male","1,023","."
"1970","Research II","Aerospace Engineering","Female","3","."
"1970","Research II","Aerospace Engineering","Male","406","."
"1970","Research II","Chemical Engineering","Female","8","."
"1970","Research II","Chemical Engineering","Male","795","."
"1970","Research II","Civil Engineering","Female","4","."
"1970","Research II","Civil Engineering","Male","1,021","."
"1970","Research II","Electrical Engineering","Female","8","."
"1970","Research II","Electrical Engineering","Male","1,877","."
"1970","Research II","Mechanical Engineering","Female","2","."
"1970","Research II","Mechanical Engineering","Male","1,194","."
"1970","Research II","Materials Engineering","Male","119","."
"1970","Research II","Industrial Engineering","Female","5","."
"1970","Research II","Industrial Engineering","Male","584","."
"1970","Research II","Other Engineering","Male","569","."
"1970","Research II","Astronomy","Female","1","."
"1970","Research II","Astronomy","Male","4","."
"1970","Research II","Chemistry","Female","124","."
"1970","Research II","Chemistry","Male","748","."
"1970","Research II","Physics","Female","25","."
"1970","Research II","Physics","Male","401","."
"1970","Research II","Other Physical Sciences","Female","30","."
"1970","Research II","Other Physical Sciences","Male","79","."
"1970","Research II","Atmospheric Sciences","Male","28","."
"1970","Research II","Earth Sciences","Female","29","."
"1970","Research II","Earth Sciences","Male","324","."
"1970","Research II","Mathematics and Statistics","Female","789","."
"1970","Research II","Mathematics and Statistics","Male","1,341","."
"1970","Research II","Computer Science","Female","17","."
"1970","Research II","Computer Science","Male","100","."
"1970","Research II","Agricultural Sciences","Female","57","."
"1970","Research II","Agricultural Sciences","Male","1,605","."
"1970","Research II","Biological Sciences","Female","711","."
"1970","Research II","Biological Sciences","Male","2,032","."
"1970","Research II","Medical Sciences","Female","93","."
"1970","Research II","Medical Sciences","Male","430","."
"1970","Research II","Other Life Sciences","Female","1,033","."
"1970","Research II","Other Life Sciences","Male","370","."
"1970","Research II","Psychology","Female","1,099","."
"1970","Research II","Psychology","Male","1,704","."
"1970","Research II","Economics","Female","106","."
"1970","Research II","Economics","Male","1,530","."
"1970","Research II","Political Science and Public Administration","Female","511","."
"1970","Research II","Political Science and Public Administration","Male","2,224","."
"1970","Research II","Sociology","Female","1,316","."
"1970","Research II","Sociology","Male","1,067","."
"1970","Research II","Anthropology","Female","200","."
"1970","Research II","Anthropology","Male","183","."
"1970","Research II","Linguistics","Female","7","."
"1970","Research II","Linguistics","Male","9","."
"1970","Research II","Area and Ethnic Studies","Female","88","."
"1970","Research II","Area and Ethnic Studies","Male","120","."
"1970","Research II","Other Social Sciences","Female","536","."
"1970","Research II","Other Social Sciences","Male","1,063","."
"1970","Research II","Engineering Technologies","Female","2","."
"1970","Research II","Engineering Technologies","Male","700","."
"1970","Research II","Health Technologies","Female","12","."
"1970","Research II","Health Technologies","Male","4","."
"1970","Research II","Interdisciplinary or Other Sciences","Female","113","."
"1970","Research II","Interdisciplinary or Other Sciences","Male","438","."
"1970","Research II","History","Female","893","."
"1970","Research II","History","Male","1,811","."
"1970","Research II","English and Literature","Female","2,877","."
"1970","Research II","English and Literature","Male","1,346","."
"1970","Research II","Foreign Languages","Female","1,133","."
"1970","Research II","Foreign Languages","Male","493","."
"1970","Research II","Other Humanities","Female","99","."
"1970","Research II","Other Humanities","Male","301","."
"1970","Research II","Religion and Theology","Female","21","."
"1970","Research II","Religion and Theology","Male","14","."
"1970","Research II","Arts and Music","Female","1,666","."
"1970","Research II","Arts and Music","Male","1,454","."
"1970","Research II","Architecture and Environmental Design","Female","29","."
"1970","Research II","Architecture and Environmental Design","Male","743","."
"1970","Research II","Other Science/Technical Education","Female","39","."
"1970","Research II","Other Science/Technical Education","Male","634","."
"1970","Research II","Non-Science Education","Female","8,853","."
"1970","Research II","Non-Science Education","Male","2,331","."
"1970","Research II","Business and Management","Female","707","."
"1970","Research II","Business and Management","Male","10,106","."
"1970","Research II","Communication and Librarianship","Female","469","."
"1970","Research II","Communication and Librarianship","Male","698","."
"1970","Research II","Law","Female","2","."
"1970","Research II","Law","Male","49","."
"1970","Research II","Social Service Professions","Female","264","."
"1970","Research II","Social Service Professions","Male","78","."
"1970","Research II","Vocational Studies and Home Economics","Female","1,700","."
"1970","Research II","Vocational Studies and Home Economics","Male","57","."
"1970","Research II","Other Non-sciences or Unknown Disciplines","Female","204","."
"1970","Research II","Other Non-sciences or Unknown Disciplines","Male","410","."
"1970","Doctoral I","Aerospace Engineering","Female","3","."
"1970","Doctoral I","Aerospace Engineering","Male","124","."
"1970","Doctoral I","Chemical Engineering","Female","7","."
"1970","Doctoral I","Chemical Engineering","Male","272","."
"1970","Doctoral I","Civil Engineering","Female","4","."
"1970","Doctoral I","Civil Engineering","Male","528","."
"1970","Doctoral I","Electrical Engineering","Female","5","."
"1970","Doctoral I","Electrical Engineering","Male","1,103","."
"1970","Doctoral I","Mechanical Engineering","Female","5","."
"1970","Doctoral I","Mechanical Engineering","Male","884","."
"1970","Doctoral I","Materials Engineering","Male","119","."
"1970","Doctoral I","Industrial Engineering","Female","3","."
"1970","Doctoral I","Industrial Engineering","Male","188","."
"1970","Doctoral I","Other Engineering","Female","2","."
"1970","Doctoral I","Other Engineering","Male","151","."
"1970","Doctoral I","Chemistry","Female","152","."
"1970","Doctoral I","Chemistry","Male","701","."
"1970","Doctoral I","Physics","Female","28","."
"1970","Doctoral I","Physics","Male","404","."
"1970","Doctoral I","Other Physical Sciences","Female","5","."
"1970","Doctoral I","Other Physical Sciences","Male","28","."
"1970","Doctoral I","Earth Sciences","Female","33","."
"1970","Doctoral I","Earth Sciences","Male","253","."
"1970","Doctoral I","Oceanography","Male","6","."
"1970","Doctoral I","Mathematics and Statistics","Female","815","."
"1970","Doctoral I","Mathematics and Statistics","Male","1,435","."
"1970","Doctoral I","Computer Science","Female","16","."
